"x" "y" "grp" "srtm_56_04" "ruggedness" "Occ_1200" "row_id"
-112790.325768971 4829565.24440289 7236 1534.2265625 47.2000312805176 0.4255834365 234
-164790.325768971 4831565.24440289 7516 1733.48828125 31.1613159179688 0.58652607 235
-162790.325768971 4831565.24440289 7518 1863.32421875 49.3489856719971 0.58652607 236
-160790.325768971 4831565.24440289 7520 1905.2109375 43.5534582138062 0.58652607 237
-158790.325768971 4831565.24440289 7349 1626.78515625 27.618857383728 0.58652607 238
-156790.325768971 4831565.24440289 7351 1628.046875 30.4264600276947 0.58652607 239
-154790.325768971 4831565.24440289 7353 1605.1484375 28.4132249355316 0.58652607 240
-152790.325768971 4831565.24440289 7355 1585.765625 27.4109544754028 0.669061057 241
-150790.325768971 4831565.24440289 7357 1591.69921875 30.5141386985779 0.751596044 242
-148790.325768971 4831565.24440289 7359 1550.4140625 34.9855651855469 0.751596044 243
-146790.325768971 4831565.24440289 7361 1497.93359375 31.9686748981476 0.751596044 244
-144790.325768971 4831565.24440289 7363 1408.57421875 20.8745379447937 0.751596044 245
-142790.325768971 4831565.24440289 7206 1275.11328125 9.23080849647522 0.751596044 246
-140790.325768971 4831565.24440289 7207 1255.87890625 8.24626874923706 0.751596044 247
-138790.325768971 4831565.24440289 7209 1225.453125 6.50147664546967 0.751596044 248
-136790.325768971 4831565.24440289 7211 1199.83984375 6.3585125207901 0.751596044 249
-134790.325768971 4831565.24440289 7213 1159.44921875 5.2492698431015 0.751596044 250
-132790.325768971 4831565.24440289 7217 1132.5390625 5.52069163322449 0.6787954545 251
-130790.325768971 4831565.24440289 7219 1102.42578125 4.40991318225861 0.605994865 252
-128790.325768971 4831565.24440289 7220 1085.703125 4.17481964826584 0.605994865 253
-126790.325768971 4831565.24440289 7062 1053.87109375 4.92837476730347 0.605994865 254
-124790.325768971 4831565.24440289 7064 1098.46484375 7.71991682052612 0.605994865 255
-122790.325768971 4831565.24440289 7066 1178.44140625 16.4321875572205 0.605994865 256
-120790.325768971 4831565.24440289 7068 1229.94140625 23.2528579235077 0.605994865 257
-118790.325768971 4831565.24440289 7070 1319.26953125 29.6158649921417 0.605994865 258
-116790.325768971 4831565.24440289 7071 1356.94140625 37.4796471595764 0.605994865 259
-114790.325768971 4831565.24440289 7073 1390.94140625 38.7999305725098 0.605994865 260
-112790.325768971 4831565.24440289 7076 1374.765625 32.6946649551392 0.4255834365 261
-164790.325768971 4833565.24440289 7343 1682.8046875 29.7309098243713 0.58652607 262
-162790.325768971 4833565.24440289 7186 1531.10546875 14.7695813179016 0.58652607 263
-160790.325768971 4833565.24440289 7188 1514.01953125 13.0973975658417 0.58652607 264
-158790.325768971 4833565.24440289 7190 1498.6015625 13.2442538738251 0.58652607 265
-156790.325768971 4833565.24440289 7192 1488.80078125 13.5104041099548 0.58652607 266
-154790.325768971 4833565.24440289 7193 1481.703125 12.8420941829681 0.58652607 267
-152790.325768971 4833565.24440289 7196 1472.203125 12.1928069591522 0.669061057 268
-150790.325768971 4833565.24440289 7198 1450.671875 12.5349597930908 0.751596044 269
-148790.325768971 4833565.24440289 7041 1339.26953125 10.3611891269684 0.751596044 270
-146790.325768971 4833565.24440289 7043 1296.921875 9.20584464073181 0.751596044 271
-144790.325768971 4833565.24440289 7045 1257.56640625 8.85500049591064 0.751596044 272
-142790.325768971 4833565.24440289 7046 1237.85546875 8.52549695968628 0.751596044 273
-140790.325768971 4833565.24440289 7048 1203.9375 7.10307633876801 0.751596044 274
-138790.325768971 4833565.24440289 7050 1187.70703125 5.62691652774811 0.751596044 275
-136790.325768971 4833565.24440289 7052 1163.8671875 5.49573922157288 0.751596044 276
-134790.325768971 4833565.24440289 7054 1136.74609375 4.43379497528076 0.751596044 277
-132790.325768971 4833565.24440289 6900 1097.46875 3.99740016460419 0.605994865 278
-130790.325768971 4833565.24440289 6901 1085.9375 4.00632137060165 0.605994865 279
-128790.325768971 4833565.24440289 6903 1060.18359375 3.6867356300354 0.605994865 280
-126790.325768971 4833565.24440289 6905 1042.1015625 4.09519511461258 0.605994865 281
-124790.325768971 4833565.24440289 6907 1065.59765625 6.39486527442932 0.605994865 282
-122790.325768971 4833565.24440289 6909 1102.38671875 8.76441740989685 0.605994865 283
-120790.325768971 4833565.24440289 6911 1149.4140625 11.5732626914978 0.605994865 284
-118790.325768971 4833565.24440289 6912 1170.91015625 11.7407817840576 0.605994865 285
-116790.325768971 4833565.24440289 6757 1124.12890625 9.94225811958313 0.605994865 286
-114790.325768971 4833565.24440289 6759 1153.6875 10.471720457077 0.605994865 287
-112790.325768971 4833565.24440289 6762 1166.55859375 10.3261904716492 0.4255834365 288
-164790.325768971 4835565.24440289 7025 1434.25390625 10.9954254627228 0.58652607 289
-162790.325768971 4835565.24440289 7027 1440.11328125 12.1154098510742 0.58652607 290
-160790.325768971 4835565.24440289 7029 1428.3984375 11.154260635376 0.58652607 291
-158790.325768971 4835565.24440289 7031 1415.30859375 10.6101207733154 0.58652607 292
-156790.325768971 4835565.24440289 7032 1406.921875 10.6945095062256 0.58652607 293
-154790.325768971 4835565.24440289 7034 1402.96875 10.433572769165 0.58652607 294
-152790.325768971 4835565.24440289 6880 1321.91796875 9.78680443763733 0.669061057 295
-150790.325768971 4835565.24440289 6882 1301.890625 9.80437135696411 0.751596044 296
-148790.325768971 4835565.24440289 6884 1272.328125 9.51169753074646 0.751596044 297
-146790.325768971 4835565.24440289 6886 1238.80078125 8.5373147726059 0.751596044 298
-144790.325768971 4835565.24440289 6887 1222.5546875 8.0988655090332 0.751596044 299
-142790.325768971 4835565.24440289 6889 1185.18359375 7.80637526512146 0.751596044 300
-140790.325768971 4835565.24440289 6891 1158.7890625 6.30920660495758 0.751596044 301
-138790.325768971 4835565.24440289 6736 1128.02734375 4.47159588336945 0.751596044 302
-136790.325768971 4835565.24440289 6738 1116.3203125 4.19855606555939 0.751596044 303
-134790.325768971 4835565.24440289 6740 1095.62109375 3.91737711429596 0.751596044 304
-132790.325768971 4835565.24440289 6742 1088.75 3.91891664266586 0.6787954545 305
-130790.325768971 4835565.24440289 6744 1068.42578125 3.92786121368408 0.605994865 306
-128790.325768971 4835565.24440289 6746 1046.00390625 3.60814261436462 0.605994865 307
-126790.325768971 4835565.24440289 6748 1029.05078125 3.22591125965118 0.605994865 308
-124790.325768971 4835565.24440289 6750 1031.74609375 4.65308576822281 0.605994865 309
-122790.325768971 4835565.24440289 6593 1025.11328125 5.91642308235168 0.605994865 310
-120790.325768971 4835565.24440289 6594 1034.08203125 6.79927563667297 0.605994865 311
-118790.325768971 4835565.24440289 6596 1052.06640625 7.33469939231873 0.605994865 312
-116790.325768971 4835565.24440289 6598 1067.13671875 8.12741649150848 0.605994865 313
